"route_id","agency_id","route_short_name","route_long_name","route_type","dir_1_from","dir_1_to","dir_2_from","dir_2_to"
"3046","1","1","Slovany - Bolevec","0","Slovany","Bolevec","Bolevec","Slovany"
"3047","1","2","Světovar - Sady Pětatřicátníků","0","Světovar","Sady Pětatřicátníků","Sady Pětatřicátníků","Světovar"
"3048","1","4","Univerzita - Košutka","0","Univerzita","Košutka","Košutka","Univerzita"
"3049","1","2A","Náměstí Republiky - Skvrňany","3","Náměstí Republiky","Skvrňany","Skvrňany","Náměstí Republiky"
"3132","1","20","Mrakodrap - Bílá Hora - Zruč-Senec","3","Mrakodrap","Zruč - Senec","Zruč - Senec","Mrakodrap"
"3133","1","21","Bory - Litice","3","Bory","Litice","Litice","Bory"
"3134","1","23","Bory - Radobyčice - Slovany","3","Bory","Slovany","Slovany","Bory"
"3135","1","24","Bory - Zadní Skvrňany - Bolevec","3","Bory","Bolevec","Bolevec","Bory"
"3136","1","25","Bory - Nemocnice Lochotín - Bolevec","3","Bory","Bolevec","Bolevec","Bory"
"3137","1","26","Bory - Valcha - Lhota - Nová Ves","3","U Luny","Nová Ves","Nová Ves","U Luny"
"3138","1","27","Mrakodrap - Nemocnice Privamed - Košutka","3","Mrakodrap","Sídliště Košutka","Sídliště Košutka","Mrakodrap"
"3139","1","28","CAN - Doubravka - Bukovec","3","Papírna Bukovec","CAN Husova","CAN Husova","Papírna Bukovec"
"3140","1","29","Doubravka - Borská pole","3","Borská pole","Doubravka","Doubravka","Borská pole"
"3141","1","30","Borská pole - Bory - Košutka ","3","Borská pole","Sídliště Košutka","Sídliště Košutka","Borská pole"
"3142","1","31","Slovany - Hradiště","3","Slovany","Hradiště","Hradiště","Slovany"
"3143","1","32","Škoda VIII. brána - Bory - NC Černice","3","Škoda VIII. brána","NC Černice","NC Černice","Škoda VIII. brána"
"3144","1","33","Goethova - Nemocnice Lochotín - Košutka","3","Goethova","Sídliště Košutka","Sídliště Košutka","Goethova"
"3145","1","34","Pařížská - Orlík - Třemošná","3","Pařížská","Třemošná, ves","Třemošná, ves","Pařížská"
"3146","1","35","Dolní Vlkýš - Malesice - Radčice","3","Dolní Vlkýš","Radčice","Radčice","Dolní Vlkýš"
"3147","1","36","Bory - Sídliště Litice","3","Bory","Sídliště Litice","Sídliště Litice","Bory"
"3148","1","37","Radčice - Macháčkova","3","Macháčkova","Křimice","Radčice","Macháčkova"
"3149","1","38","Lobzy - Červený Hrádek","3","Lobzy","Červený Hrádek","Červený Hrádek","Lobzy"
"3150","1","39","Tyršův most - Bory - Kalendářní","3","Tyršův most","Kalendářní","Kalendářní","Tyršův most"
"3151","1","40","Goethova - Lochotín - Košutka","3","Goethova","Sídliště Košutka","Sídliště Košutka","Goethova"
"3152","1","41","Vinice - CAN - Křimice","3","Vinice","Křimice","Křimice","Vinice"
"3153","1","42","Bory - Špačková - Lhota","3","U Luny","Lhota","Lhota","U Luny"
"3154","1","43","Zátiší - Zadní Skvrňany","3","Zátiší","Zadní Skvrňany","Zadní Skvrňany","Zátiší"
"3155","1","50","NC Černice - Starý Plzenec","3","NC Černice","Starý Plzenec, Vilová čtvrť","Starý Plzenec, Vilová čtvrť","NC Černice"
"3156","1","51","Slovany - Koterov - Starý Plzenec","3","Slovany","Starý Plzenec, Vilová čtvrť","Starý Plzenec, Vilová čtvrť","Slovany"
"3157","1","56","Vinice - CAN - Město Touškov","3","Vinice","Město Touškov","Město Touškov","Vinice"
"3158","1","58","Okounová - Třemošná - Zruč-Senec - Bílá Hora","3","Okounová","Nádraží Bílá Hora","Nádraží Bílá Hora","Okounová"
"3159","1","N11","Mrakodrap - Bušovice, Sedlecko","3","Mrakodrap","Bušovice, Sedlecko","Bušovice, Sedlecko","Mrakodrap"
