"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"25","27","2","120"
"26","27","2","120"
"27","28","2","60"
"26","28","2","120"
"25","28","2","180"
"25","26","2","60"
"460","461","2","420"
"459","461","2","480"
"119","461","2","660"
"120","461","2","660"
"461","462","2","60"
"460","462","2","360"
"459","462","2","420"
"119","462","2","660"
"120","462","2","660"
"459","460","2","180"
"395","396","2","60"
"63","64","2","60"
"63","65","2","60"
"63","66","2","60"
"465","466","2","60"
"465","619","2","120"
"466","619","2","120"
"344","345","2","60"
"407","408","2","180"
"263","264","2","60"
"263","265","2","60"
"483","484","2","120"
"71","72","2","60"
"214","215","2","180"
"485","486","2","120"
"532","533","2","60"
"87","88","2","60"
"87","599","2","240"
"88","599","2","300"
"599","600","2","60"
"87","600","2","300"
"88","600","2","360"
"247","248","2","120"
"87","248","2","300"
"88","248","2","360"
"87","247","2","300"
"88","247","2","300"
"248","249","2","180"
"247","249","2","180"
"87","249","2","180"
"88","249","2","240"
"249","250","2","120"
"248","250","2","180"
"247","250","2","240"
"87","250","2","300"
"88","250","2","300"
"250","251","2","180"
"248","251","2","180"
"247","251","2","180"
"87","251","2","240"
"88","251","2","240"
"271","272","2","60"
"270","272","2","120"
"272","273","2","120"
"270","273","2","120"
"271","273","2","120"
"216","217","2","120"
"217","218","2","120"
"227","228","2","60"
"227","229","2","180"
"223","224","2","60"
"225","226","2","60"
"630","631","2","180"
"389","390","2","60"
"429","430","2","240"
"365","366","2","240"
"366","367","2","120"
"365","367","2","180"
"178","548","2","240"
"179","548","2","240"
"150","548","2","300"
"180","548","2","300"
"181","548","2","360"
"548","549","2","60"
"178","549","2","240"
"179","549","2","240"
"153","549","2","240"
"152","549","2","300"
"151","549","2","300"
"181","549","2","360"
"179","180","2","60"
"178","180","2","120"
"180","181","2","120"
"178","181","2","120"
"152","153","2","60"
"150","153","2","120"
"151","153","2","120"
"150","152","2","60"
"151","152","2","120"
"140","142","2","120"
"141","142","2","120"
"142","143","2","60"
"140","143","2","120"
"141","143","2","120"
"308","309","2","60"
"357","358","2","120"
"361","362","2","60"
"358","362","2","60"
"357","362","2","60"
"360","362","2","120"
"359","362","2","180"
"357","361","2","60"
"360","361","2","60"
"359","361","2","120"
"358","359","2","120"
"357","359","2","180"
"357","360","2","60"
"358","360","2","120"
"359","360","2","120"
"332","333","2","60"
"206","207","2","120"
"74","562","2","120"
"75","562","2","180"
"73","562","2","180"
"76","562","2","180"
"562","563","2","60"
"73","563","2","180"
"74","563","2","180"
"76","563","2","180"
"75","563","2","180"
"73","74","2","60"
"73","75","2","60"
"73","76","2","60"
"135","136","2","120"
"371","372","2","180"
"492","493","2","60"
"219","220","2","60"
"242","243","2","180"
"617","618","2","60"
"193","320","2","120"
"195","320","2","120"
"196","320","2","120"
"194","320","2","180"
"320","321","2","60"
"193","321","2","120"
"195","321","2","120"
"196","321","2","120"
